filename;Time / s;GaNFET1_Junction;GaNFET2_Junction;GaNFET3_Junction;GaNFET4_Junction;GaNFET5_Junction;GaNFET6_Junction;GaNFET_Package_temp;MOSFET7_Junction;MOSFET8_Junction;MOSFET7_Package_temp;MOSFET8_Package_temp
3750;1,000000e+00;6,814110e+01;6,813816e+01;6,816128e+01;6,813749e+01;6,810953e+01;6,811547e+01;5,838318e+01;4,916477e+01;4,940367e+01;4,011134e+01;4,026117e+01
3800;1,000000e+00;6,816131e+01;6,815936e+01;6,818244e+01;6,815883e+01;6,813035e+01;6,813565e+01;5,839928e+01;4,929434e+01;4,953340e+01;4,019058e+01;4,034050e+01
3850;1,000000e+00;6,818166e+01;6,818083e+01;6,820376e+01;6,818009e+01;6,815164e+01;6,815593e+01;5,841552e+01;4,942573e+01;4,966490e+01;4,027092e+01;4,042090e+01
3900;1,000000e+00;6,820168e+01;6,820206e+01;6,822559e+01;6,820187e+01;6,817284e+01;6,817627e+01;5,843182e+01;4,955897e+01;4,979825e+01;4,035239e+01;4,050244e+01
3950;1,000000e+00;6,822211e+01;6,822338e+01;6,824720e+01;6,822334e+01;6,819438e+01;6,819648e+01;5,844813e+01;4,969408e+01;4,993349e+01;4,043500e+01;4,058513e+01
4000;1,000000e+00;6,824311e+01;6,824531e+01;6,826891e+01;6,824503e+01;6,821539e+01;6,821745e+01;5,846467e+01;4,983138e+01;5,007049e+01;4,051896e+01;4,066890e+01
4050;1,000000e+00;6,826424e+01;6,826740e+01;6,829048e+01;6,826647e+01;6,823735e+01;6,823856e+01;5,848135e+01;4,997826e+01;5,021634e+01;4,060890e+01;4,075818e+01
4100;1,000000e+00;6,828577e+01;6,828968e+01;6,831256e+01;6,828883e+01;6,825954e+01;6,826001e+01;5,849835e+01;5,012048e+01;5,035711e+01;4,069587e+01;4,084425e+01
4150;1,000000e+00;6,830740e+01;6,831128e+01;6,833477e+01;6,831087e+01;6,828146e+01;6,828154e+01;5,851523e+01;5,026476e+01;5,049974e+01;4,078411e+01;4,093145e+01
4200;1,000000e+00;6,832890e+01;6,833383e+01;6,835716e+01;6,833301e+01;6,830384e+01;6,830296e+01;5,853229e+01;5,041121e+01;5,064422e+01;4,087368e+01;4,101977e+01
4250;1,000000e+00;6,835053e+01;6,835644e+01;6,837962e+01;6,835529e+01;6,832636e+01;6,832450e+01;5,854944e+01;5,055956e+01;5,079057e+01;4,096440e+01;4,110923e+01
4300;1,000000e+00;6,837226e+01;6,837912e+01;6,840223e+01;6,837768e+01;6,834935e+01;6,834616e+01;5,856672e+01;5,070954e+01;5,093869e+01;4,105612e+01;4,119978e+01
4350;1,000000e+00;6,839358e+01;6,840174e+01;6,842433e+01;6,839977e+01;6,837163e+01;6,836740e+01;5,858369e+01;5,086041e+01;5,108564e+01;4,114836e+01;4,128955e+01
4400;1,000000e+00;6,841495e+01;6,842398e+01;6,844660e+01;6,842159e+01;6,839393e+01;6,838877e+01;5,860063e+01;5,101335e+01;5,123414e+01;4,124187e+01;4,138026e+01
4450;1,000000e+00;6,843704e+01;6,844673e+01;6,846891e+01;6,844460e+01;6,841675e+01;6,841087e+01;5,861804e+01;5,116811e+01;5,138446e+01;4,133648e+01;4,147208e+01
4500;1,000000e+00;6,845864e+01;6,846910e+01;6,849122e+01;6,846691e+01;6,843878e+01;6,843235e+01;5,863507e+01;5,132484e+01;5,153672e+01;4,143229e+01;4,156509e+01
4550;1,000000e+00;6,848027e+01;6,849124e+01;6,851407e+01;6,848972e+01;6,846096e+01;6,845397e+01;5,865225e+01;5,154803e+01;5,175571e+01;4,156980e+01;4,169996e+01
4600;1,000000e+00;6,850189e+01;6,851386e+01;6,853667e+01;6,851218e+01;6,848355e+01;6,847554e+01;5,866945e+01;5,170822e+01;5,191220e+01;4,166772e+01;4,179555e+01
4650;1,000000e+00;6,852355e+01;6,853662e+01;6,855950e+01;6,853521e+01;6,850635e+01;6,849722e+01;5,868682e+01;5,187023e+01;5,207123e+01;4,176674e+01;4,189270e+01
4700;1,000000e+00;6,854545e+01;6,855996e+01;6,858284e+01;6,855810e+01;6,852932e+01;6,851911e+01;5,870440e+01;5,203398e+01;5,223350e+01;4,186682e+01;4,199184e+01
4750;1,000000e+00;6,856741e+01;6,858289e+01;6,860574e+01;6,858091e+01;6,855255e+01;6,854092e+01;5,872188e+01;5,219606e+01;5,240022e+01;4,196581e+01;4,209375e+01
4800;1,000000e+00;6,858952e+01;6,860596e+01;6,862879e+01;6,860385e+01;6,857557e+01;6,856299e+01;5,873945e+01;5,236026e+01;5,256953e+01;4,206611e+01;4,219725e+01
4850;1,000000e+00;6,861176e+01;6,862907e+01;6,865159e+01;6,862697e+01;6,859868e+01;6,858522e+01;5,875706e+01;5,252691e+01;5,274067e+01;4,216790e+01;4,230185e+01
4900;1,000000e+00;6,863373e+01;6,865223e+01;6,867474e+01;6,865009e+01;6,862224e+01;6,860718e+01;5,877471e+01;5,269543e+01;5,291415e+01;4,227083e+01;4,240789e+01
4950;1,000000e+00;6,865614e+01;6,867550e+01;6,869876e+01;6,867336e+01;6,864556e+01;6,862962e+01;5,879259e+01;5,286582e+01;5,308976e+01;4,237489e+01;4,251523e+01
5000;1,000000e+00;6,867847e+01;6,869855e+01;6,872203e+01;6,869701e+01;6,866833e+01;6,865194e+01;5,881030e+01;5,303747e+01;5,326585e+01;4,247972e+01;4,262283e+01
5050;1,000000e+00;6,870086e+01;6,872169e+01;6,874560e+01;6,872028e+01;6,869154e+01;6,867440e+01;5,882810e+01;5,322796e+01;5,346075e+01;4,259633e+01;4,274221e+01
