vds;ids;eon;eoff;vdsreal;idsreal;rdson;;
-436,516;12,5893;0,000000745688;0,000076694;0,612412;12,5716;0,048714;;
-436,516;15,8489;0,000000904646;0,000100514;0,633045;15,8259;0,0400005;;
-436,516;19,9526;0,00000193521;0,000131103;0,657949;19,9225;0,0330253;;
-436,516;25,1189;0,00000189606;0,000172413;0,698388;25,0787;0,0278479;;
-436,516;31,6228;0,00000289693;0,000230791;0,73191;31,5698;0,0231839;;
-436,516;39,8107;0,00000451339;0,000306171;0,772539;39,7403;0,0194397;;
-436,516;50,1187;0,00000683006;0,000401161;0,820227;50,0245;0,0163965;;
-436,516;63,0957;0,000010767;0,000541405;0,875561;62,9692;0,0139046;;
-436,516;79,4328;0,0000168054;0,000747949;0,941723;79,2615;0,0118812;;
-436,516;100;0,0000262048;0,000985001;1,021;99,7661;0,0102339;;
-436,516;125,893;0,0000423511;0,00135622;1,1169;125,57;0,00889459;;
-436,516;158,489;0,0000680932;0,00187145;1,23369;158,041;0,00780615;;
-436,516;199,526;0,000114196;0,00262294;1,37677;198,897;0,00692204;;
-436,516;251,189;0,000166318;0,00384699;1,55289;250,295;0,00620425;;
-436,516;316,228;0,000265696;0,00551171;1,77054;314,945;0,00562174;;
-436,516;398,107;0,000426474;0,00774373;2,04036;396,246;0,00514922;;
-436,516;500;0,000625415;0,0115045;2,37186;497,283;0,00476963;;
-398,107;0,1;0,00000000707648;0,000000249911;0,249591;0,0999373;2,49747;;
-398,107;0,125893;0,00000000239764;0,000000324928;0,264755;0,125809;2,10442;;
-398,107;0,158489;0,0000000299708;0,000000430824;0,280007;0,158378;1,76797;;
-398,107;0,199526;0,00000000363085;0,000000579383;0,295302;0,199378;1,48111;;
-398,107;0,251189;7,87656E-10;0,000000775413;0,310733;0,250993;1,23802;;
-398,107;0,316228;0,00000000502802;0,00000102322;0,326172;0,315969;1,03229;;
-398,107;0,398107;0,00000000667821;0,00000135527;0,341725;0,397765;0,859113;;
-398,107;0,501187;0,000000757778;0,00000178462;0,357367;0,500737;0,713681;;
-398,107;0,630957;0,0000000150916;0,00000234339;0,373018;0,630366;0,591748;;
-398,107;0,794328;0,0000000070147;0,00000310014;0,388816;0,793552;0,489968;;
