filename;Time / s;GaNFET 1;GaNFET 2;GaNFET 3;GaNFET 4;GaNFET 5;GaNFET 6;MOSFET 7;MOSFET 8
4550;1,300000e+00;8,460227e+01;8,459362e+01;8,461720e+01;8,461764e+01;8,459525e+01;8,460343e+01;7,031891e+01;7,115191e+01
4600;1,300000e+00;8,537517e+01;8,536678e+01;8,539027e+01;8,539070e+01;8,536843e+01;8,537635e+01;7,086370e+01;7,169384e+01
4650;1,300000e+00;8,615256e+01;8,614444e+01;8,616792e+01;8,616836e+01;8,614609e+01;8,615374e+01;7,140903e+01;7,223749e+01
4700;1,300000e+00;8,693378e+01;8,692591e+01;8,694940e+01;8,694985e+01;8,692757e+01;8,693495e+01;7,195437e+01;7,278596e+01
4750;1,300000e+00;8,771877e+01;8,771115e+01;8,773464e+01;8,773508e+01;8,771283e+01;8,771996e+01;7,249307e+01;7,334161e+01
4800;1,300000e+00;8,850753e+01;8,850017e+01;8,852363e+01;8,852408e+01;8,850183e+01;8,850869e+01;7,303211e+01;7,389823e+01
4850;1,300000e+00;8,930001e+01;8,929295e+01;8,931639e+01;8,931684e+01;8,929459e+01;8,930118e+01;7,357228e+01;7,445417e+01
4900;1,300000e+00;9,009645e+01;9,008968e+01;9,011311e+01;9,011353e+01;9,009129e+01;9,009758e+01;7,411290e+01;7,500992e+01
4950;1,300000e+00;9,089667e+01;9,089019e+01;9,091362e+01;9,091397e+01;9,089176e+01;9,089773e+01;7,465402e+01;7,556469e+01
5000;1,300000e+00;9,170088e+01;9,169471e+01;9,171813e+01;9,171831e+01;9,169612e+01;9,170182e+01;7,519486e+01;7,611528e+01
