V1	Ix(U1:2)
Step Information: Temp=-40  (Step: 1/5)
7.050000000000000e+01	1.410147e-06
7.060000000000001e+01	1.412147e-06
7.070000000000000e+01	1.414147e-06
7.080000000000000e+01	1.416147e-06
7.090000000000001e+01	1.418147e-06
7.100000000000000e+01	1.420147e-06
7.110000000000001e+01	1.422148e-06
7.120000000000000e+01	1.424148e-06
7.130000000000000e+01	1.426148e-06
7.140000000000001e+01	1.428148e-06
7.150000000000000e+01	1.430148e-06
7.160000000000001e+01	1.432148e-06
7.170000000000000e+01	1.434148e-06
7.180000000000000e+01	1.436148e-06
7.190000000000001e+01	1.438148e-06
7.200000000000000e+01	1.440148e-06
7.210000000000001e+01	1.442149e-06
7.220000000000000e+01	1.444149e-06
7.230000000000000e+01	1.446149e-06
7.240000000000001e+01	1.448149e-06
7.250000000000000e+01	1.450149e-06
7.260000000000001e+01	1.452149e-06
7.270000000000000e+01	1.454149e-06
7.280000000000000e+01	1.456149e-06
7.290000000000001e+01	1.458149e-06
7.300000000000000e+01	1.460149e-06
7.310000000000001e+01	1.462149e-06
