V1	Ix(U1:1)
Step Information: Temp=-40  (Step: 1/5)
3.660000000000000e-01	2.021780e-03
3.670000000000000e-01	2.110198e-03
3.680000000000000e-01	2.202121e-03
3.690000000000000e-01	2.297658e-03
3.700000000000000e-01	2.396920e-03
3.710000000000000e-01	2.500020e-03
3.720000000000000e-01	2.607071e-03
3.730000000000000e-01	2.718187e-03
3.740000000000000e-01	2.833483e-03
3.750000000000000e-01	2.953074e-03
3.760000000000000e-01	3.077075e-03
3.770000000000000e-01	3.205601e-03
3.780000000000000e-01	3.338768e-03
3.790000000000000e-01	3.476691e-03
3.800000000000000e-01	3.619484e-03
3.810000000000000e-01	3.767260e-03
3.820000000000000e-01	3.920131e-03
3.830000000000000e-01	4.078208e-03
3.840000000000000e-01	4.241602e-03
3.850000000000000e-01	4.410418e-03
3.860000000000000e-01	4.584763e-03
3.870000000000000e-01	4.764739e-03
3.880000000000000e-01	4.950448e-03
3.890000000000000e-01	5.141987e-03
3.900000000000000e-01	5.339452e-03
3.910000000000000e-01	5.542933e-03
3.920000000000000e-01	5.752519e-03
3.930000000000000e-01	5.968296e-03
3.940000000000000e-01	6.190342e-03
3.950000000000000e-01	6.418737e-03
3.960000000000000e-01	6.653552e-03
3.970000000000000e-01	6.894856e-03
3.980000000000000e-01	7.142714e-03
3.990000000000000e-01	7.397184e-03
4.000000000000000e-01	7.658322e-03
4.010000000000000e-01	7.926178e-03
4.020000000000000e-01	8.200798e-03
4.030000000000000e-01	8.482222e-03
4.040000000000000e-01	8.770486e-03
4.050000000000000e-01	9.065622e-03
4.060000000000000e-01	9.367654e-03
4.070000000000000e-01	9.676605e-03
4.080000000000000e-01	9.992491e-03
4.090000000000000e-01	1.031532e-02
4.100000000000000e-01	1.064511e-02
4.110000000000000e-01	1.098185e-02
4.120000000000000e-01	1.132555e-02
4.130000000000000e-01	1.167619e-02
4.140000000000000e-01	1.203377e-02
4.150000000000000e-01	1.239827e-02
4.160000000000000e-01	1.276967e-02
4.170000000000000e-01	1.314795e-02
4.180000000000000e-01	1.353309e-02
4.190000000000000e-01	1.392504e-02
4.200000000000000e-01	1.432378e-02
4.210000000000000e-01	1.472927e-02
4.220000000000000e-01	1.514146e-02
4.230000000000000e-01	1.556033e-02
4.240000000000000e-01	1.598581e-02
4.250000000000000e-01	1.641786e-02
4.260000000000000e-01	1.685642e-02
4.270000000000000e-01	1.730146e-02
4.280000000000000e-01	1.775290e-02
4.290000000000000e-01	1.821068e-02
4.300000000000000e-01	1.867476e-02
4.310000000000000e-01	1.914506e-02
4.320000000000000e-01	1.962153e-02
4.330000000000000e-01	2.010410e-02
4.340000000000000e-01	2.059270e-02
4.350000000000000e-01	2.108727e-02
4.360000000000000e-01	2.158773e-02
4.370000000000000e-01	2.209403e-02
4.380000000000000e-01	2.260608e-02
4.390000000000000e-01	2.312383e-02
4.400000000000000e-01	2.364719e-02
4.410000000000000e-01	2.417610e-02
4.420000000000000e-01	2.471048e-02
4.430000000000000e-01	2.525027e-02
4.440000000000000e-01	2.579539e-02
