eon;eoff;vds;ids
0.0343807650008;0.00378101205155;375.999969482;438.453521729
0.0372380449509;0.00406398707839;375.999969482;461.611602783
0.0402075554025;0.00430893840386;375.999969482;484.65512085
4.10714896467e-05;2.48199586142e-05;400.981201172;0.999960346189
0.00118332881822;0.00019995827346;400.999267578;25.9731311798
0.00246349111842;0.000392695062529;400.999633789;50.896484375
0.00385010222843;0.00058887654041;400.999755859;75.7697677612
0.0053311705062;0.000788847985826;400.999816895;100.592651367
0.0069295066659;0.000996129675816;400.999847412;125.364700317
0.00860952770002;0.00120087087936;400.99987793;150.085296631
0.010384067271;0.00140943032025;400.999890165;174.753570557
0.0122355502624;0.0016228350107;400.999908447;199.368286133
0.0141899830891;0.00183668379156;400.999908447;223.927429199
0.0162276569205;0.00205563802176;400.999938965;248.427566528
0.0183488332216;0.00227685055198;400.999938965;272.861358643
0.0205669213381;0.00249131994172;400.999938965;297.204376221
0.0229838551417;0.00274489104708;400.999938965;321.221832275
0.025556246425;0.00300060567632;400.999938965;345.040618896
0.0282188675789;0.00326285170811;400.999938965;368.747344971
0.0310070475656;0.00352558874124;400.999938965;392.342773438
0.0338618224218;0.00379550342314;400.999969482;415.827667236
0.0368094006974;0.00406927521328;400.999969482;439.202758789
0.0398803630429;0.00434302520167;400.999969482;462.468841553
0.0430426864857;0.00462980306809;400.999969482;485.626647949
4.48005685725e-05;2.72534703169e-05;425.978973389;0.999962609992
0.00128618027082;0.000217270632257;425.999206543;25.9747066498
0.00267124246162;0.000425968481791;425.999572754;50.902545929
0.00417215369961;0.000640174821656;425.999725342;75.783241272
0.00576874807053;0.000854271016851;425.999786377;100.616470337
0.00747642047307;0.00107589541348;425.999847412;125.401802063
0.00929025977606;0.00129982368919;425.999847412;150.138656616
0.0111881886177;0.00152318667266;425.99987793;174.826217651
0.0131786398308;0.00175094008569;425.999908447;199.463287354
0.0152696806808;0.00198457073294;425.999908447;224.047958374
0.0174507492822;0.00221354033071;425.999908447;248.576950073
0.0197230236495;0.00245033693508;425.999921385;273.043304443
0.0220939892231;0.00269953512491;425.999938965;297.423583984
0.0246436963742;0.00295273962964;425.999938965;321.494110107
0.0273621501507;0.00322545522929;425.999938965;345.379425049
0.0302009157029;0.00349707093646;425.999938965;369.158782959
0.0331600442947;0.00378027226977;425.999938965;392.832794189
0.0361930084387;0.00407370253916;425.999938965;416.402160645
0.039339861411;0.00437182453777;425.999938965;439.867584229
0.0425538287621;0.0046448807411;425.999969482;463.229675293
0.0458921613969;0.00493636040927;425.999969482;486.48916626
4.8533432378e-05;2.97475841668e-05;450.976623535;0.99996467257
0.00139082758723;0.000235283307605;450.99911499;25.9761066437
0.00288562607839;0.000460946960283;450.999542236;50.9079399109
0.00449987806021;0.00069184832664;450.999694824;75.7952194214
0.00622861655021;0.000923843944877;450.999755859;100.637649536
0.00805533512081;0.0011613307123;450.999816895;125.434806824
0.00998189609221;0.00139785991403;450.999847412;150.186141968
0.0120167875656;0.00163835903991;450.99987793;174.890869141
0.0141344843767;0.00188010450844;450.99987793;199.547821045
0.0163729826615;0.00212874050169;450.999908447;224.155227661
0.0186898894768;0.00238307318194;450.999908447;248.70993042
0.0211215866348;0.00263106203901;450.999908447;273.205291748
0.0236312147791;0.00288862177226;450.999908447;297.618865967
0.026373646002;0.00316661544416;450.999938965;321.737030029
0.0292507824803;0.00345414081616;450.999938965;345.681793213
0.0322533837313;0.00374721144067;450.999938965;369.526031494
0.0353615571784;0.00403450270125;450.999938965;393.270294189
0.0385520543278;0.00435351984873;450.999938965;416.915252686
0.0418796557365;0.00465582865464;450.999938965;440.461456299
0.0453110125737;0.00496926641161;450.999938965;463.909515381
0.0488676408126;0.00525845744907;450.999938965;487.260040283
5.24252453121e-05;3.22535702367e-05;475.974121094;0.999966568936
0.00149869294263;0.000253563629721;475.99899292;25.9773616791
0.00310497022653;0.000496551275791;475.999481201;50.9127655029
0.00483319926373;0.000744255184197;475.999664307;75.8059463501
0.00667653477475;0.000992423210181;475.999755859;100.656616211
0.00863258051414;0.0012472993844;475.999786377;125.464363098
0.010698211002;0.00149826307713;475.999816895;150.228668213
0.0128685754602;0.00175904440317;475.999847412;174.948760986
0.0151328723045;0.00201882092135;475.99987793;199.623550415
